species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,age_mat_years,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa,References,,,,
Procambarus clarkii,Red swamp crayfish,crustacean,2469,actual,2.5,2.5,0.23,0.3,20,500,several_year,14.8315,107.2882101,4.928455,,,,,,,,crustacean,crustacean,crustacean,crustacean,0,1.50305,18.122,77.230552,med,crustacean,"2, 15, 16, 17",,,,
Eriocheir sinensis,Chinese mitten crab,crustacean,775.9,actual,2.85,2.85,0.009,0.3,7.5,500,several_year,8.805,107.2882101,25.663,,,,,,,,crustacean,crustacean,crustacean,crustacean,56,1.9815,8.5915,35.60327937,vhigh,crustacean,"2, 15",,,,
Penaeus monodon,Giant tiger prawn,crustacean,717.1,actual,3.36,3.36,1.7,0.83,33.6,"247,500",once_year,6.823,183.3303289,2.484,37.43333333,2.63,31.055,1.846666667,,0.16,17.20642857,crustacean,crustacean,crustacean,crustacean,0,1.016,24.219,106,6976726.16,crustacean,"2, 8, 12",,,,
Macrobrachium rosenbergii,Giant river prawn,crustacean,294,actual,2.5,2.5,0.3,0.3,34,"9,000",several_year,7.482,183.3303289,2.819,51.32638889,1.159722222,28.95642857,2.248888889,,0.095,17.42467803,crustacean,crustacean,crustacean,crustacean,0,1.0825,11.6905,59,1415942.1,crustacean,"2, 7, 10",,,,
Scylla serrata,Indo-Pacific swamp crab,crustacean,248.8,actual,3.34,3.34,0.698,0.41,28,"10,655",several_year,6.9675,140.9795611,2.647,190,1.766666667,54.6,3.245,,0.21,14.7,crustacean,crustacean,crustacean,crustacean,0,1.016,23.51,359.5,9649425.77,crustacean,"2, 6",,,,
Macrobrachium nipponense,Oriental river prawn,crustacean,228.8,actual,2,2,0.82,0.2,8.6,14200,once_year,16.3485,186.8665359,2.9225,51.32638889,1.159722222,28.95642857,2.248888889,,0.095,17.42467803,crustacean,crustacean,crustacean,crustacean,0,0.892,14.234,59,1415942.1,crustacean,"2, 3, 9, 14",,,,
Scylla paramamosain,Green mud crab,crustacean,159.4,actual,2.5,2.5,2.39,0.35,20,"1,574,000",,2.41264,186.8665359,1.95808,190,1.766666667,54.6,3.245,,0.21,14.7,crustacean,crustacean,crustacean,crustacean,0,0.7734,8.402,359.5,9649425.77,crustacean,2,,,,
Crassostrea virginica,Eastern oyster,mollusc,5450.3,proxy for Crassostrea spp.,1.5,1.5,0.4,0.3,30,"10,000,000",once_year,20.5915,179.5107036,3.524,51.5,5.195,41.7,8.468241758,,0.283333333,5.542,mollusc,mollusc,mollusc,mollusc,70,0.918,11.6905,65.5,3313786.72,mollusc,2,,,,
Ruditapes philippinarum,Japanese carpet shell,mollusc,4266.2,actual,1.5,1.5,0.3,1,8,"959,000",once_year,14.6725,186.8665359,3.1605,202.7854214,7.133,42.18695,1.212285714,,0.46,9.213738345,mollusc,mollusc,mollusc,mollusc,70,1.32,21.6075,139,974192.23,mollusc,"2, 5",,,,
Mizuhopecten yessoensis,Yesso scallop or giant Ezo scallop,mollusc,1746.4,proxy for Pectinidae,1.5,1.5,0.5,1,25,"25,000,000",once_year,19.7415,186.8665359,2.529,54.82222222,0.967777778,17.960625,1.73547619,,0.23,14.868125,mollusc,mollusc,mollusc,mollusc,70,1.2525,21.6075,45,452443.17,mollusc,"2, 4",,,,
Mytilus edulis,Blue mussel,mollusc,1108.3,proxy for Mytilidae,1.5,1.5,0.4,1,11,,year_round,9.738,107.2882101,25.7155,39.25,4.393333333,49.8925,2.19,,0.481428571,11.8,mollusc,mollusc,mollusc,mollusc,70,1.9815,12.8705,268.5,2489823.05,mollusc,2,,,,
Mytilus galloprovincialis,Mediterranean mussel,mollusc,1108.3,proxy for Mytilidae,1.5,1.5,0.1,,12.3,,,11.318,107.2882101,19.0125,72.16666667,3.054665212,49.364375,3.088888889,,0.383333333,9.345833333,mollusc,mollusc,mollusc,mollusc,70,2.1085,24.0795,54.5,1471925.6,mollusc,2,,,,
Perna canaliculus,New Zealand green-lipped mussel,mollusc,1108.3,proxy for Mytilidae,1.5,1.5,,,,,,8.572,172.0548539,1.2715,66,3.3,51,1.13,,0.58,10.6875,mollusc,mollusc,mollusc,mollusc,70,0,23.117,10,73566.56,mollusc,2,,,,
Sinonovacula constricta,Constricted tagelus,mollusc,860.3,actual,1.5,1.5,,,,,,17.858,186.8665359,0.71969,88.91949704,4.257350079,42.18695,3.996211066,,0.398461538,9.943448206,mollusc,mollusc,mollusc,mollusc,70,0.41261,14.166,33.036389,low,mollusc,2,,,,
Magallana gigas,Pacific cupped oyster,mollusc,610.3,actual,1.5,1.5,2.3,,,,,12.0335,140.9795611,5.4275,163.3666667,2.1402,34.31875,4.2566,,0.28,9.671897222,mollusc,mollusc,mollusc,mollusc,70,1.1055,24.0795,358.5,2471067.82,mollusc,2,,,,
Tegillarca granosa,Blood cockle,mollusc,457.9,actual,1.5,1.5,0.6,,,,,18.1915,183.3303289,2.0575,88.91949704,4.257350079,42.18695,3.996211066,,0.398461538,9.943448206,mollusc,mollusc,mollusc,mollusc,70,0.769,24.0795,268.5,2489823.05,mollusc,2,,,,
Mytilus chilensis,Chilean mussel,mollusc,399.1,actual,1.5,1.5,0.2,,,,,5.804,206.6797444,0.202,53.78786505,4.486368067,49.90958333,2.135892878,,0.481428571,10.78541041,mollusc,mollusc,mollusc,mollusc,70,1.5485,8.402,18,442750.15,mollusc,2,,,,
Laminaria japonica,Japanese kelp,algae,12469.8,actual,1,1,0.5,,500,,year_round,25.0235,183.3303289,3.079,567.5,22.095,,1.26,740,,6.3,algae,algae,algae,algae,70,1.4995,23.51,129.194133,,algae,"2, 18, 19, 20",,,,
Gracilaria gracilis,Ogonori,algae,5180.4,proxy for Gracilaria spp.,1,1,0.5,,60,,year_round,7.892215,202.9921912,7.549,402,4.3,,4.35,,,,algae,algae,algae,algae,70,0.5495,9.356,114.873894,,algae,"2, 18, 19, 20",,,,
Undaria pinnatifida,Wakame,algae,2810.6,actual,1,1,0.5,,300,,once_year,14.0255,140.9795611,1.8775,1030,9.25,,2.47,40,,18.9,algae,algae,algae,algae,70,0.8655,23.117,102.0312481,low,algae,"2, 18, 19, 20",,,,
Porphrya tenera,Nori (tenera),algae,2220.2,proxy for Porphyra spp.,1,1,0.5,,50,,once_year,19.65818,186.8665359,1.42782,390,10.5,,2.5,,,26.6,algae,algae,algae,algae,70,1.28742,23.31224,63.476463,,algae,"2, 18, 19, 20",,,,
Porphyra haitanensis,Nori (haitanensis),algae,2220.2,proxy for Porphyra spp.,1,1,0.5,,,,once_year,18.23308,107.2882101,3.113,,,,,,,26.6,algae,algae,algae,algae,70,0.874,24.184125,112.9267,,algae,"2, 18, 19, 20",,,,
Porphyra yezoensis,Nori (yezoensis),algae,2220.2,proxy for Porphyra spp.,1,1,0.5,,300,,once_year,15.944,186.8665359,3.039,440,13,,10,1600000,,26.6,algae,algae,algae,algae,70,1.0925,21.6075,91.2057,,algae,"2, 18, 19, 20",,,,
Kappaphycus alvarezii,Elkhorn sea moss,algae,1604.1,actual,1,1,0.5,,200,,year_round,4.6025,186.8665359,2.286,,,,,,,,algae,algae,algae,algae,70,0.769,24.219,58.455369,med,algae,"2, 18, 19, 20",,,,
Sargassum fusiforme,Fusiform sargassum,algae,292.9,actual,1,1,0.5,,100,,year_round,16.289,186.8665359,2.374,1860,47,,1.35,,,10.9,algae,algae,algae,algae,70,0.6185,24.0795,84.360348,,algae,"2, 18, 19, 20",,,,
Eucheuma denticulatum,Spiny eucheuma,algae,154.1,actual,1,1,0.5,,74,,year_round,15.646,179.5107036,2.9245,,,,,,,,algae,algae,algae,algae,70,1.713,24.0795,82.004633,high,algae,"2, 18, 19, 20",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
