species,common_name,category,thousand_tons_2020,actual_number?,agg_trophic,feed_eff_trophic,growth_rate_K,max_size_cm,abs_fecundity,rep_freq_year,temp_range_c,pO2_min_mbar,sal_range,Ca_mg_100g,Fe_mg_100g,Se_ug_100g,Zn_mg_100g,A_ug_100g,Omega_g_100g,Protein_g_100g,c_seq,OA_buff,bioremed,structure,spatial,P_range_µmol/kg,N_range_µmol/kg,lat_range_degrees,geog_range_km2,PH_sensitivity_taxa
Oncorhynchus mykiss,Rainbow trout,finfish_inland,739.5,actual,4.1,4.1,0.38,122,12749,1,15.685,179.5107036,4.0025,29.8,0.917,265,0.523,5.65,1.04,19.3,1,1,1,1,0.6,1.4915,24.1475,56,903878.66,1
Oncorhynchus mykiss,Rainbow trout,finfish_marine,220.1,actual,4.1,4.1,0.38,122,12749,1,15.685,179.5107036,4.0025,29.8,0.917,265,0.523,5.65,1.04,19.3,1,1,1,1,0.6,1.4915,24.1475,56,903878.66,1
Ctenopharyngodon idellus,Grass carp,finfish_inland,5791.5,actual,2,2,0.13,150,1500000,2,18.6195,107.2882101,28.472,23.6,0.812,34.8,0.493,15.6,0.296,17.3,1,1,1,1,0,2.1845,16.12161,103.334367,15000000,1
Oncorhynchus kisutch,Coho salmon,finfish_marine,221.9,actual,4.2,4.2,0.2,108,6906,1,4.8815,208.734297,0.9855,31.9,1.24,161,0.543,12,1.13,19.8,1,1,1,1,0.5,1.127,13.5675,358.5,2436276.23,1
Catla catla,Catla,finfish_inland,3540.3,actual,2.8,2.8,0.32,182,3630708,,2.73243,215.053648,2.9375,186,0.937,132,1.25,4.54,0.41,17.2,1,1,1,1,0,0.769,2.103,22.925424,2000000,1
Seriola quinqueradiata,Japanese amberjack,finfish_marine,137.1,actual,4,4,0.32,150,,,16.833,186.8665359,1.8755,52.4,1.36,37.3,0.428,17.4,0.334,18.9,1,1,1,1,40,0.9031,15.2865,77.5,925799.39,1
Hypophthalmichthys nobilis,Bighead carp,finfish_inland,3187.2,actual,2.8,2.8,0.17,146,1938333,,15.412,202.9921912,18.2825,15.1,0.422,14.3,0.271,10.6,0.543,17.1,1,1,1,1,112,2.1845,13.164,45.03338566,2000000,1
Dicentrarchus labrax,European seabass,finfish_marine,243.9,actual,3.5,3.5,0.1,103,808581,2,9.4645,126.9204976,4.585,37.1,0.869,14.6,0.519,7.01,0.3,20.2,1,1,1,1,40,2.1085,2.8555,34.303513,2000000,1
Mylopharyngodon piceus,Black carp,finfish_inland,695.5,actual,3.2,3.2,0.09,180,3000000,2,19.269,179.5107036,19.5025,73,1.13,31.1,0.713,7.37,0.335,18.9,1,1,1,1,0,2.1895,14.3055,38.31712,7000000,1
Scylla paramamosain,Green mud crab,crustacean,159.4,actual,2.5,2.5,2.39,20,,,2.41264,186.8665359,1.95808,190,1.766666667,54.6,3.245,,0.21,14.7,2,2,2,2,0,0.7734,8.402,359.5,9649425.77,2
Hypophthalmichthys molitrix,Silver carp,finfish_inland,4896.6,actual,2,2,0.2,120,3683150,,17.438,107.2882101,19.0125,37.9,1.37,30.1,0.445,8.45,0.306,17.3,1,1,1,1,112,2.1845,14.234,90.811986,15000000,1
Sparus aurata,Gilthead seabream,finfish_marine,282.1,actual,3.7,3.7,0.26,70,,2,6.3615,172.0548539,3.1155,63.3,1.03,2,0.315,9.74,0.655,20.2,1,1,1,1,24,0.0265,23.117,359,20356868.16,1
Trachinotus ovatus,Pompano,finfish_marine,160,actual,3.7,3.7,0.26,70,,,10.9405,126.9204976,5.8045,70.6,1.64,25.1,0.739,13.1,0.444,19.9,1,1,1,1,112,2.1845,12.1835,359,7840539.85,1
Clarias gariepinus,African sharptooth catfish,finfish_inland,1249,proxy for Clarias spp.,3.8,3.8,0.09,170,650000,2,11.27189,186.8665359,5.3995,6.69,0.989,81.1,0.371,23.9,0.291,17.2,1,1,1,1,0,1.016,7.693,79.780212,7000000,1
Chanos chanos,Milkfish,finfish_marine,1167.8,actual,2.4,2.4,0.1,180,3060000,2,11.034,183.3303289,5.0085,46.4,0.661,87.2,1.39,11.4,0.111,19.8,1,1,1,1,80,1.12619,24.219,359.5,13734721.18,1
Scylla serrata,Indo-Pacific swamp crab,crustacean,248.8,actual,3.34,3.34,0.698,28,,3,6.9675,140.9795611,2.647,190,1.766666667,54.6,3.245,,0.21,14.7,2,2,2,2,0,1.016,23.51,359.5,9649425.77,2
